Ambito,Quesito,Percentuale sicurezza,Risoluzione,Note,,#
Idraulica,"Il Candidato illustri gli aspetti di rilievo che riguardano lo studio delle correnti
idrauliche","90,00%",,,,1
Strutture,"Descrivere il comportamento costitutivo dell'acciaio e del calcestruzzo armato con particolare
riferimento alle proprietà di elasticità (anelasticità), linearità (non linearità), isotropia (anisotropia), duttilità, viscosità e risposta ciclica. (E tra l'altro espressamente richiesta la
derivazione del legame costitutivo elastico, lineare, isotropo e omogeneo alla base della
teoria della trave).","10,00%",,,,2
,"Si illustri una relazione generale di progetto per la realizzazione di un'opera di ingegneria edile indicando la
normativa diriferimento, i principali criteri di scelta da adottare evidenziando le principali problematiche
da considerare in relazione agli aspetti ambientali.","40,00%",,,,3
,"11 Candidato descriva 1a problematica dell'accumulo dei sedimenti in fognatura
e ne illustri possibili strategie di controllo, soffermandosi, in particolare, sulle
implicazioni che tale controllo determina sulf impostazione progeffuale della
rete fognaria.","70,00%",,,,4
,"il Candidato descriva la problematica dell'accumulo dei sedimenti in fognatura
e ne illustri possibili strategie di controllo, soffermandosi, in particolare, sulle
implicazioni che tale controllo determina sull'impostazione progettuale della
rete fognaria.","70,00%",,,,5
,"I1 Candidato illustri i criteri per lo studio della trattabilità biologica di
reflui industriali/rifiuti liquidi. Inoltre, si riportino le problematiche
gestionali \egate all'utilizzo dei processi biologici nel trattamento di tali
reflui e le relative proposte di intervento.","80,00%",,,,6
,"la pianificazione, la progettazione, lo sviluppo,
la direzione lavori, la stima, il collaudo, la gestione, la valutazione di impatto ambientale di opere
edili e strutture, infrastrutture, territoriali e di trasporto, di opere per la difesa del suolo e per il
disinquinamento e la depurazione, di opere geotecniche, di sistemi e impianti civili e per l'ambiente
e il territorio;
Ilcandidato introduca e illustri, per quanto di competenza afferente al suo settore di attività
professionale, uno dei seguenti temi a sua scelta:
sicurezza (intesa come riduzione del rischio)
qualita' (intesa come adeguatezza all'uso)
impatto ambientale (inteso anche come inclusivo del risparmio energetico)
innovazione (intesa come valorizzazione di nuove tecnologie)
inquinamento (inteso come riduzione degli effetti)
progettazione e direzione lavori (aspetti di calcolo, normativi e operativi)
II candidato articoli il suo elaborato tenendo conto dei seguenti fattori: ambito di
applicazione, stato dell'arte, costi e benefici, procedure preferite, valutazione delle
soluzioni tecniche, tutele e aspetti normativi e legislativi.","0,00%",,,,7
,"II Candidato descriva la problematica del calcolo delle portate di piena attraverso i modelli
afflussi-deflussi applicati, in particolare, all'ambito dei bacini naturali, oppure, a sua scelta,
discuta la problematica della gestione dei fanghi prodotti dalla depurazione degli scarichi
urbani, soffermandosi in particolare sugli aspetti normativi che ne regolamentano il
recupero in agricoltura (normativa tecnica nazionale e regionale).","0,00%",,,,8
,"Il candidato illustri, anche attraverso esempi, l’impatto dell’innovazione tecnologica di prodotto
e/o di processo nel progetto di architettura.","50,00%",,,,9
,"Il candidato esponga le sue conoscenze in tema di strutture in cemento armato con particolare riferimento
a:
1. Comportamento costitutivo dei materiali componenti;
2. Meccanismi di rottura della sezione;
3. Aspetti normativi e progettuali.","50,00%","Il cemento armato (c.a.) si basa sulla collaborazione tra calcestruzzo, materiale con ottima resistenza a compressione ma scarsa a trazione, e acciaio, che sopperisce a tale carenza. Tale simbiosi è resa possibile dall’aderenza tra i due materiali e dalla similarità dei loro coefficienti di dilatazione termica.Di seguito si espongono i tre punti cardine richiesti.1. Comportamento costitutivo dei materiali componentiIl comportamento globale della struttura dipende dalle leggi sforzo-deformazione ($\sigma-\varepsilon$) dei singoli materiali:Calcestruzzo (Conglomerato Cementizio)Il calcestruzzo ha un comportamento non lineare e fragile. Per il calcolo allo Stato Limite Ultimo (SLU), la normativa (NTC 2018) adotta convenzionalmente il diagramma parabola-rettangolo:Tratto parabolico: Da $\varepsilon = 0$ fino alla deformazione di picco $\varepsilon_{c2} \approx 0.2\%$, dove la tensione raggiunge il valore di calcolo $f_{cd}$.Tratto rettangolare (plasticizzazione): Da $\varepsilon_{c2}$ fino alla deformazione ultima $\varepsilon_{cu} \approx 0.35\%$.In trazione, la resistenza è solitamente trascurata nei calcoli di resistenza della sezione, pur essendo fondamentale per lo studio della fessurazione e dell'aderenza.Acciaio per armatureL'acciaio ha un comportamento elastico-plastico. Il modello di calcolo è tipicamente il bilineare indefinito o con incrudimento:Tratto elastico: Definito dal modulo di Young $E_s \approx 210.000$ MPa, valido fino allo snervamento ($f_{yd}$).Tratto plastico: Caratterizzato da grandi deformazioni con tensione costante (o leggermente crescente). La deformazione ultima di progetto $\varepsilon_{ud}$ è limitata per garantire la duttilità.2. Meccanismi di rottura della sezioneL'analisi della sezione avviene tramite l'ipotesi di conservazione delle sezioni piane (Bernoulli) e perfetta aderenza. La rottura è definita dal raggiungimento dei limiti di deformazione dei materiali.Flessione Semplice e CompostaSi distinguono tre tipologie di crisi in base alla quantità di armatura:Crisi Fragile (Lato Calcestruzzo): Sezione ""sovra-armata"". Il calcestruzzo raggiunge $\varepsilon_{cu}$ prima che l'acciaio snervi. La rottura è improvvisa e senza preavviso (da evitare in progettazione).Crisi Duttile (Lato Acciaio): Sezione ""sotto-armata"". L'acciaio snerva ampiamente prima della crisi del calcestruzzo. Questo garantisce ampie fessurazioni e deformazioni che avvertono dell'imminente collasso.Bilanciata: Raggiungimento simultaneo dei limiti ultimi.Taglio (Meccanismi Resistenti)A differenza della flessione, la resistenza al taglio è modellata tramite l'analogia del Traliccio di Mörsch-Ritter. La sezione resiste grazie a:Bielle di compressione: Il calcestruzzo inclinato (tipicamente tra 21° e 45°).Tiranti: Le armature trasversali (staffe) e longitudinali.La crisi può avvenire per schiacciamento della biella di calcestruzzo o per snervamento delle staffe.3. Aspetti normativi e progettualiLa progettazione moderna segue l'approccio semi-probabilistico agli Stati Limite, normato in Italia dalle NTC 2018 (e a livello europeo dagli Eurocodici, in particolare EC2).Criteri di ProgettazioneStati Limite Ultimi (SLU): Mirano a garantire la sicurezza strutturale contro il collasso (capacità portante). Si utilizzano i coefficienti parziali di sicurezza: $\gamma_c = 1.5$ per il calcestruzzo e $\gamma_s = 1.15$ per l'acciaio.Stati Limite di Esercizio (SLE): Mirano a garantire la funzionalità, la durabilità e il comfort (controllo delle tensioni, della fessurazione e delle frecce deformative).Gerarchia delle Resistenze (Capacity Design): In ambito sismico, si progettano le strutture in modo che le crisi avvengano nei punti ""duttili"" (es. travi) proteggendo i punti ""fragili"" (es. nodi trave-pilastro o crisi per taglio).DurabilitàUn aspetto progettuale cruciale è la prescrizione del copriferro minimo e della classe di esposizione, volti a proteggere le armature dalla corrosione (carbonatazione o attacco da cloruri) per tutta la vita nominale dell'opera.Sintesi: La progettazione di strutture in c.a. non è solo un calcolo di resistenze, ma un bilanciamento tra duttilità (capacità di deformarsi senza crollare) e durabilità, operando sempre all'interno del quadro cogente delle NTC 2018.",,,10
